conflictividad,year,month,count
Violencia intrafamiliar,2011,3,85
Violencia intrafamiliar,2011,4,44
Violencia intrafamiliar,2011,5,57
Violencia intrafamiliar,2011,6,54
Violencia intrafamiliar,2011,7,109
Violencia intrafamiliar,2011,8,260
Violencia intrafamiliar,2011,9,154
Violencia intrafamiliar,2011,10,151
Violencia intrafamiliar,2011,11,164
Violencia intrafamiliar,2011,12,58
Violencia intrafamiliar,2012,1,263
Violencia intrafamiliar,2012,2,263
Violencia intrafamiliar,2012,3,170
Violencia intrafamiliar,2012,4,159
Violencia intrafamiliar,2012,5,71
Violencia intrafamiliar,2012,6,116
Violencia intrafamiliar,2012,7,51
Violencia intrafamiliar,2012,8,166
Violencia intrafamiliar,2012,9,88
Violencia intrafamiliar,2012,10,66
Violencia intrafamiliar,2012,11,56
Violencia intrafamiliar,2012,12,22
Violencia intrafamiliar,2013,1,167
Violencia intrafamiliar,2013,2,203
Violencia intrafamiliar,2013,3,120
Violencia intrafamiliar,2013,4,71
Violencia intrafamiliar,2013,5,149
Violencia intrafamiliar,2013,6,126
Violencia intrafamiliar,2013,7,92
Violencia intrafamiliar,2013,8,94
Violencia intrafamiliar,2013,9,72
Violencia intrafamiliar,2013,10,43
Violencia intrafamiliar,2013,11,26
Violencia intrafamiliar,2013,12,18
Violencia intrafamiliar,2014,1,200
Violencia intrafamiliar,2014,2,172
Violencia intrafamiliar,2014,3,127
Violencia intrafamiliar,2014,4,137
Violencia intrafamiliar,2014,5,140
Violencia intrafamiliar,2014,6,138
Violencia intrafamiliar,2014,7,79
Violencia intrafamiliar,2014,8,26
Violencia intrafamiliar,2014,9,143
Violencia intrafamiliar,2014,10,136
Violencia intrafamiliar,2014,11,41
Violencia intrafamiliar,2014,12,60
Violencia intrafamiliar,2015,1,148
Violencia intrafamiliar,2015,2,190
Violencia intrafamiliar,2015,3,163
Violencia intrafamiliar,2015,4,202
Violencia intrafamiliar,2015,5,208
Violencia intrafamiliar,2015,6,198
Violencia intrafamiliar,2015,7,198
Violencia intrafamiliar,2015,8,193
Violencia intrafamiliar,2015,9,262
Violencia intrafamiliar,2015,10,228
Violencia intrafamiliar,2015,11,227
Violencia intrafamiliar,2015,12,195
Violencia intrafamiliar,2016,1,318
Violencia intrafamiliar,2016,2,352
Violencia intrafamiliar,2016,3,254
Violencia intrafamiliar,2016,4,179
Violencia intrafamiliar,2016,5,199
Violencia intrafamiliar,2016,6,171
Violencia intrafamiliar,2016,7,208
Violencia intrafamiliar,2016,8,207
Violencia intrafamiliar,2016,9,240
Violencia intrafamiliar,2016,10,199
Violencia intrafamiliar,2016,11,198
Violencia intrafamiliar,2016,12,237
Violencia intrafamiliar,2017,1,198
Violencia intrafamiliar,2017,2,221
Violencia intrafamiliar,2017,3,247
Violencia intrafamiliar,2017,4,266
Violencia intrafamiliar,2017,5,350
Violencia intrafamiliar,2017,6,250
Violencia intrafamiliar,2017,7,240
Violencia intrafamiliar,2017,8,194
Violencia intrafamiliar,2017,9,256
Violencia intrafamiliar,2017,10,179
Violencia intrafamiliar,2017,11,139
Violencia intrafamiliar,2017,12,39
Violencia intrafamiliar,2018,1,179
Violencia intrafamiliar,2018,2,138
Violencia intrafamiliar,2018,3,179
Violencia intrafamiliar,2018,4,240
Violencia intrafamiliar,2018,5,185
Violencia intrafamiliar,2018,6,164
Violencia intrafamiliar,2018,7,143
Violencia intrafamiliar,2018,8,201
Violencia intrafamiliar,2018,9,248
Violencia intrafamiliar,2018,10,206
Violencia intrafamiliar,2018,11,200
Violencia intrafamiliar,2018,12,140
Violencia intrafamiliar,2019,1,144
Violencia intrafamiliar,2019,2,70
Violencia intrafamiliar,2019,3,104
Violencia intrafamiliar,2019,4,111
Violencia intrafamiliar,2019,5,113
Violencia intrafamiliar,2019,6,58
Violencia intrafamiliar,2019,7,7
Violencia intrafamiliar,2019,8,13
Violencia intrafamiliar,2019,9,13
Violencia intrafamiliar,2019,10,21
Violencia intrafamiliar,2019,11,12
Violencia intrafamiliar,2019,12,12
