year,comuna,hour,weekday,month,count
2010,2,9,4,6,1
2010,2,9,4,7,2
2010,2,9,4,9,1
2010,2,9,4,10,1
2010,2,9,4,11,1
2010,2,9,5,4,1
2010,2,9,5,6,1
2010,2,9,5,9,1
2010,2,9,5,10,1
2010,2,9,5,11,1
2010,2,9,6,2,1
2010,2,9,6,8,1
2010,2,10,0,2,1
2010,2,10,0,3,7
2010,2,10,0,4,1
2010,2,10,0,5,1
2010,2,10,0,7,1
2010,2,10,0,8,2
2010,2,10,0,10,3
2010,2,10,1,1,2
2010,2,10,1,3,1
2010,2,10,1,6,1
2010,2,10,1,9,2
2010,2,10,1,11,2
2010,2,10,2,1,1
2010,2,10,2,2,1
2010,2,10,2,3,3
2010,2,10,2,8,1
2010,2,10,2,10,1
2010,2,10,2,11,1
2010,2,10,3,1,1
2010,2,10,3,3,4
2010,2,10,3,4,1
2010,2,10,3,8,1
2010,2,10,3,12,3
2010,2,10,4,1,3
2010,2,10,4,2,1
2010,2,10,4,3,1
2010,2,10,4,6,1
2010,2,10,4,7,2
2010,2,10,4,8,1
2010,2,10,4,10,1
2010,2,10,5,2,1
2010,2,10,5,7,3
2010,2,10,5,8,1
2010,2,10,5,9,2
2010,2,10,5,10,1
2010,2,10,5,12,1
2010,2,10,6,5,1
2010,2,10,6,11,2
2010,2,11,0,2,3
2010,2,11,0,4,2
2010,2,11,0,5,3
2010,2,11,0,7,2
2010,2,11,0,8,2
2010,2,11,0,10,1
2010,2,11,1,1,1
2010,2,11,1,2,1
2010,2,11,1,3,2
2010,2,11,1,5,1
2010,2,11,1,8,1
2010,2,11,1,11,2
2010,2,11,1,12,2
2010,2,11,2,1,3
2010,2,11,2,6,1
2010,2,11,2,7,1
2010,2,11,2,11,1
2010,2,11,2,12,1
2010,2,11,3,2,1
2010,2,11,3,3,2
2010,2,11,3,6,1
2010,2,11,3,7,1
2010,2,11,3,10,1
2010,2,11,3,11,1
2010,2,11,3,12,2
2010,2,11,4,1,2
2010,2,11,4,2,1
2010,2,11,4,6,1
2010,2,11,4,7,1
2010,2,11,4,8,1
2010,2,11,4,9,3
2010,2,11,4,10,1
2010,2,11,4,12,1
2010,2,11,5,1,1
2010,2,11,5,4,2
2010,2,11,5,5,2
2010,2,11,5,8,3
2010,2,11,5,9,1
2010,2,11,5,10,3
2010,2,11,5,11,1
2010,2,11,5,12,1
2010,2,11,6,3,2
2010,2,11,6,4,1
2010,2,12,0,1,2
2010,2,12,0,2,1
2010,2,12,0,3,1
2010,2,12,0,5,1
2010,2,12,0,8,1
2010,2,12,0,11,1
2010,2,12,0,12,2
2010,2,12,1,3,4
2010,2,12,1,4,1
2010,2,12,1,5,1
2010,2,12,1,8,4
2010,2,12,1,12,1
2010,2,12,2,4,1
2010,2,12,2,6,1
2010,2,12,2,9,1
2010,2,12,2,12,2
2010,2,12,3,2,1
2010,2,12,3,4,3
2010,2,12,3,8,1
2010,2,12,3,9,3
2010,2,12,4,1,1
2010,2,12,4,2,1
2010,2,12,4,5,1
2010,2,12,4,6,1
2010,2,12,4,10,1
2010,2,12,4,11,1
2010,2,12,4,12,1
2010,2,12,5,2,1
2010,2,12,5,3,2
2010,2,12,5,6,1
2010,2,12,5,9,2
2010,2,12,5,11,2
2010,2,12,5,12,1
2010,2,12,6,2,1
2010,2,12,6,4,1
2010,2,12,6,5,1
2010,2,12,6,7,3
2010,2,13,0,1,1
2010,2,13,0,2,1
2010,2,13,0,6,1
2010,2,13,0,8,1
2010,2,13,0,9,1
2010,2,13,0,12,1
2010,2,13,1,3,2
2010,2,13,1,4,2
2010,2,13,1,5,1
2010,2,13,1,10,2
2010,2,13,2,6,3
2010,2,13,2,8,2
2010,2,13,2,9,1
2010,2,13,2,12,1
2010,2,13,3,2,1
2010,2,13,3,4,2
2010,2,13,3,5,1
2010,2,13,3,7,2
2010,2,13,3,9,1
2010,2,13,3,11,1
2010,2,13,4,1,1
2010,2,13,4,3,1
2010,2,13,4,8,1
2010,2,13,4,9,1
2010,2,13,4,10,1
2010,2,13,4,12,1
2010,2,13,5,1,1
2010,2,13,5,2,2
2010,2,13,5,3,1
2010,2,13,5,5,2
2010,2,13,5,6,3
2010,2,13,5,7,1
2010,2,13,5,8,1
2010,2,13,5,10,2
2010,2,13,6,2,1
2010,2,13,6,5,1
2010,2,13,6,10,1
2010,2,14,0,3,1
2010,2,14,0,4,1
2010,2,14,0,7,1
2010,2,14,1,6,3
2010,2,14,1,8,2
2010,2,14,1,10,1
2010,2,14,2,3,3
2010,2,14,2,4,1
2010,2,14,2,5,1
2010,2,14,2,6,1
2010,2,14,2,11,1
2010,2,14,3,4,2
2010,2,14,3,5,1
2010,2,14,3,9,2
2010,2,14,3,12,2
2010,2,14,4,3,2
